plotID	type	date	precipitation_radolan	precipitation_radolan_rain_days	SD_Olivieri	SM_10	SM_20	Ta_10	Ta_200	Ta_200_cold_days	Ta_200_cool_days	Ta_200_growing_degree_days_10	Ta_200_ice_days	Ta_200_min	Ta_200_max	Ta_200_summer_days	Ta_200_tropical_days	Ta_200_tropical_nights	Ta_200_warm_days	Ts_05	Ts_10	Ts_20	Ts_50	WD	WV	WV_gust	Ta_200_max_raw	Ta_200_min_raw
AEG03	cowManure	01/05/2022	NA	NA	NA	48.06354	36.87146	9.6425	7.62583	0	0	1.49	0	3.9	12.98	0	0	0	0	10.49292	10.31458	9.83583	9.015	NA	NA	NA	12.98	3.9
AEG03	cowManure	02/05/2022	NA	NA	NA	47.5898	36.58021	10.86583	9.90542	0	0	3.625	0	2.85	17.25	0	0	0	0	10.63458	10.39583	9.85292	9.05542	NA	NA	NA	17.25	2.85
AEG03	cowManure	03/05/2022	NA	NA	NA	47.50334	37.12604	12.14792	11.28625	0	0	3.85	0	5.47	17.7	0	0	0	0	11.5775	11.23208	10.40958	9.26167	NA	NA	NA	17.7	5.47
AEG03	cowManure	04/05/2022	NA	NA	NA	50.14625	40.07792	12.0675	11.07083	0	0	3.185	0	6.71	16.37	0	0	0	0	12.44583	12.02708	11.03625	9.62458	NA	NA	NA	16.37	6.71
AEG03	cowManure	05/05/2022	NA	NA	NA	50.22749	39.15667	11.70917	9.84625	0	0	2.24	0	7.39	14.48	0	0	0	0	12.265	12.02375	11.3075	9.93292	NA	NA	NA	14.48	7.39
AEG03	cowManure	06/05/2022	NA	NA	NA	50.42167	39.34041	11.89042	10.0325	0	0	1.665	0	7.79	13.33	0	0	0	0	12.33917	12.13917	11.46	10.12292	NA	NA	NA	13.33	7.79
AEG03	cowManure	07/05/2022	NA	NA	NA	49.75834	38.25146	12.57292	11.46167	0	0	3.425	0	5.71	16.85	0	0	0	0	12.18417	11.91792	11.28583	10.19208	NA	NA	NA	16.85	5.71
AEG03	cowManure	08/05/2022	NA	NA	NA	49.16874	37.68688	12.79333	11.47458	0	0	3.075	0	7.64	16.15	0	0	0	0	12.665	12.36792	11.60083	10.34708	NA	NA	NA	16.15	7.64
AEG03	cowManure	09/05/2022	NA	NA	NA	48.60353	37.26562	15.46	14.16292	0	0	5.575	0	8.41	21.15	0	0	0	1	13.72375	13.14125	11.95375	10.51583	NA	NA	NA	21.15	8.41
AEG03	cowManure	10/05/2022	NA	NA	NA	47.86937	36.85188	15.88583	15.65708	0	0	5.685	0	8.55	21.37	0	0	0	1	14.3025	13.78625	12.595	10.88625	NA	NA	NA	21.37	8.55
AEG03	cowManure	11/05/2022	NA	NA	NA	47.04083	36.32792	17.73792	18.42	0	0	7.785	0	10.91	24.66	0	0	0	1	15.4525	14.77	13.24458	11.25708	NA	NA	NA	24.66	10.91
AEG03	cowManure	12/05/2022	NA	NA	NA	45.68812	35.85334	17.57667	17.04167	0	0	7.325	0	12.69	21.96	0	0	0	1	15.82333	15.28	13.89292	11.71958	NA	NA	NA	21.96	12.69
AEG03	cowManure	13/05/2022	NA	NA	NA	47.69396	37.98917	15.76125	13.70042	0	0	3.95	0	9.35	17.9	0	0	0	0	15.56333	15.2475	14.16958	12.14083	NA	NA	NA	17.9	9.35
AEG03	cowManure	14/05/2022	NA	NA	NA	48.97125	37.84021	16.41292	14.58917	0	0	5.645	0	6.52	21.29	0	0	0	1	15.28333	14.85083	13.90458	12.28958	NA	NA	NA	21.29	6.52
